 #--- Initial_population -----------------------------
     Omega        hs        n         ec0       alpha     beta      rat_ed    rat_ei
     30.46      5.85      0.32      0.65      0.15      1.91      1.16      0.55
     28.12      7.34      0.21      0.84      0.18      1.45      1.17      0.53
     29.98      2.59      0.32      1.07      0.25      1.95      1.11      0.59
     28.90      8.85      0.30      0.94      0.25      1.54      1.05      0.53
     36.08      7.78      0.40      0.60      0.16      1.05      1.30      0.57
     28.44      7.94      0.31      1.02      0.25      1.86      1.09      0.60
     30.72      8.72      0.22      0.74      0.24      1.01      1.28      0.54
     28.77      6.43      0.39      0.89      0.24      1.10      1.10      0.60
     33.27      6.51      0.24      1.06      0.28      1.75      1.29      0.56
     32.46      5.27      0.30      0.67      0.25      1.55      1.20      0.55
     36.69      5.44      0.30      0.92      0.15      1.99      1.06      0.58
     31.27      6.58      0.28      0.90      0.05      1.36      1.18      0.54
     35.49      3.97      0.34      0.77      0.19      1.39      1.09      0.59
     26.02      5.99      0.35      0.85      0.10      1.44      1.08      0.55
     25.86      7.11      0.30      1.07      0.11      1.00      1.05      0.54
     28.50      4.48      0.25      0.98      0.19      1.27      1.28      0.56
     27.86      4.47      0.25      0.82      0.17      1.75      1.24      0.58
     27.80      8.55      0.22      0.87      0.27      1.06      1.30      0.56
     30.76      5.22      0.39      0.66      0.11      1.02      1.29      0.56
     28.86      2.47      0.31      0.82      0.18      1.57      1.11      0.57
     33.76      4.29      0.27      0.62      0.25      1.39      1.21      0.56
     34.67      6.46      0.38      0.67      0.21      1.04      1.06      0.56
     28.42      6.50      0.22      1.05      0.28      1.58      1.15      0.58
     37.08      4.76      0.20      0.63      0.06      1.68      1.27      0.56
     30.94      4.72      0.35      0.63      0.30      1.18      1.19      0.58
     35.70      5.58      0.35      1.03      0.11      1.16      1.15      0.55
     30.51      5.43      0.27      1.05      0.05      1.33      1.22      0.57
     33.17      6.85      0.33      0.61      0.16      1.39      1.11      0.58
     34.58      4.43      0.24      1.09      0.25      1.69      1.10      0.59
     29.36      2.55      0.21      0.62      0.29      1.40      1.23      0.59
     33.80      1.66      0.40      0.90      0.25      1.23      1.26      0.53
     27.40      4.99      0.28      1.06      0.17      1.14      1.27      0.55
     33.57      8.04      0.22      0.95      0.22      1.21      1.18      0.57
     36.39      2.56      0.23      0.73      0.20      1.43      1.27      0.60
     29.79      7.83      0.39      0.61      0.30      1.30      1.09      0.57
     37.40      3.76      0.26      0.94      0.22      1.37      1.17      0.55
     25.31      6.10      0.32      0.99      0.24      1.44      1.13      0.58
     25.62      6.55      0.34      0.91      0.11      1.63      1.20      0.58
     35.45      5.91      0.36      0.71      0.19      1.51      1.27      0.54
     30.64      6.32      0.20      0.86      0.19      1.47      1.23      0.54
     29.59      2.07      0.30      0.78      0.21      1.08      1.24      0.56
     33.67      5.59      0.37      0.67      0.12      1.64      1.07      0.53
     32.62      6.60      0.29      0.94      0.28      1.47      1.12      0.54
     26.88      6.33      0.35      1.06      0.09      1.22      1.14      0.58
     39.78      2.59      0.35      0.72      0.19      1.56      1.17      0.58
     31.14      1.22      0.27      0.64      0.06      1.86      1.19      0.54
     26.62      5.58      0.39      0.94      0.26      1.82      1.28      0.59
     25.33      3.88      0.24      0.80      0.13      1.58      1.09      0.56
     27.66      6.11      0.26      1.05      0.28      1.42      1.17      0.53
     25.78      8.82      0.39      0.90      0.29      1.46      1.22      0.56
     37.67      6.99      0.30      0.87      0.29      1.50      1.16      0.58
     35.25      8.94      0.33      0.87      0.22      1.30      1.22      0.58
     38.53      2.34      0.33      1.09      0.29      1.73      1.25      0.56
     37.29      2.88      0.30      0.74      0.16      1.71      1.16      0.57
     36.44      5.35      0.36      1.00      0.20      1.61      1.15      0.54
     36.12      3.27      0.36      1.06      0.26      1.06      1.11      0.58
     26.45      2.44      0.34      0.88      0.26      1.64      1.28      0.59
     26.70      2.84      0.38      0.94      0.25      1.12      1.28      0.60
     39.73      1.69      0.34      0.62      0.10      1.60      1.16      0.55
     29.72      8.95      0.40      0.71      0.09      1.89      1.27      0.58
     33.99      8.54      0.37      0.89      0.16      1.80      1.28      0.56
     30.13      8.81      0.36      0.77      0.22      1.29      1.10      0.53
     39.36      7.03      0.39      1.06      0.29      1.46      1.26      0.56
     34.00      2.27      0.33      0.71      0.12      1.68      1.08      0.60
     26.61      7.72      0.30      1.09      0.13      1.42      1.16      0.59
     29.83      6.96      0.20      1.02      0.15      1.60      1.08      0.53
     27.26      6.82      0.38      0.80      0.10      1.70      1.10      0.58
     31.13      8.57      0.21      0.99      0.14      1.35      1.07      0.57
     34.27      4.26      0.21      0.78      0.21      1.74      1.24      0.55
     38.74      5.00      0.32      0.65      0.28      1.98      1.09      0.53
     26.10      8.69      0.23      0.94      0.19      1.91      1.18      0.58
     34.40      5.46      0.25      1.07      0.21      1.14      1.28      0.55
     37.68      3.30      0.24      0.79      0.24      1.14      1.05      0.54
     33.25      4.44      0.32      0.91      0.10      1.26      1.08      0.53
     27.82      7.87      0.29      0.89      0.13      1.06      1.27      0.58
     32.96      5.32      0.26      1.09      0.20      1.22      1.19      0.56
     35.66      6.46      0.37      0.66      0.28      1.30      1.20      0.54
     26.72      8.31      0.32      0.93      0.28      1.47      1.23      0.55
     35.25      8.23      0.39      1.09      0.18      1.42      1.13      0.58
     33.73      5.56      0.35      1.09      0.13      1.45      1.16      0.60
     33.31      4.07      0.30      0.61      0.12      1.53      1.28      0.57
     25.50      4.06      0.35      1.05      0.10      1.53      1.20      0.56
     32.07      3.20      0.26      0.92      0.25      1.99      1.12      0.57
     39.99      8.44      0.39      0.61      0.17      1.01      1.09      0.57
     36.66      3.74      0.33      1.08      0.30      1.06      1.25      0.53
     27.72      2.48      0.33      0.61      0.06      1.21      1.28      0.57
     27.86      4.52      0.24      0.66      0.10      1.68      1.20      0.60
     32.74      2.26      0.39      0.94      0.09      1.56      1.12      0.55
     26.23      6.00      0.36      0.71      0.25      1.32      1.29      0.59
     26.79      4.51      0.35      1.05      0.05      1.06      1.15      0.55
     25.62      1.69      0.37      1.06      0.24      1.38      1.20      0.55
     31.60      8.60      0.24      0.73      0.22      1.49      1.25      0.56
     25.35      5.66      0.39      0.62      0.20      1.08      1.17      0.55
     35.98      3.96      0.36      0.83      0.13      1.82      1.24      0.56
     30.90      3.37      0.37      0.85      0.09      1.84      1.15      0.59
     38.59      6.89      0.32      0.66      0.10      1.52      1.07      0.54
     36.24      4.06      0.31      1.08      0.26      1.23      1.27      0.56
     29.19      4.85      0.25      0.83      0.09      1.69      1.24      0.55
     32.13      6.90      0.38      1.04      0.22      1.37      1.24      0.55
     35.04      2.23      0.39      0.62      0.17      1.52      1.19      0.59
     29.46      5.98      0.23      0.60      0.12      1.56      1.17      0.60
     28.37      5.04      0.36      0.95      0.09      1.73      1.27      0.54
     39.02      7.37      0.24      1.05      0.07      1.34      1.05      0.54
     26.74      2.74      0.30      1.04      0.12      1.69      1.22      0.56
     34.46      2.36      0.23      0.63      0.16      1.03      1.28      0.53
     33.82      6.28      0.28      0.70      0.16      1.96      1.24      0.58
     36.89      2.07      0.39      0.91      0.15      1.34      1.10      0.54
     37.11      2.30      0.25      0.89      0.13      1.13      1.26      0.58
     35.94      8.48      0.24      1.08      0.15      1.58      1.12      0.57
     30.33      7.45      0.33      0.83      0.11      1.34      1.20      0.57
     34.70      4.14      0.37      1.10      0.30      1.78      1.12      0.56
     38.97      3.70      0.31      0.82      0.09      1.60      1.17      0.54
     38.66      3.15      0.35      0.67      0.28      1.34      1.26      0.59
     39.96      6.29      0.35      0.72      0.28      1.62      1.22      0.54
     35.26      2.16      0.32      1.00      0.08      1.84      1.13      0.54
     39.52      6.85      0.28      0.85      0.07      1.79      1.21      0.58
     39.93      7.94      0.35      0.87      0.22      1.16      1.23      0.55
     29.28      1.83      0.23      0.89      0.22      1.95      1.14      0.56
     27.80      7.97      0.34      0.72      0.22      1.50      1.22      0.59
     25.64      4.35      0.33      0.84      0.08      1.18      1.09      0.57
     31.28      8.31      0.25      0.85      0.12      1.63      1.07      0.53
     37.07      6.26      0.32      0.93      0.22      1.36      1.22      0.57
     32.65      7.67      0.24      0.79      0.24      1.89      1.14      0.53
     29.57      5.35      0.21      0.66      0.14      1.32      1.09      0.59
     30.82      5.21      0.35      0.79      0.13      1.32      1.24      0.54
     32.95      4.15      0.40      0.91      0.17      1.28      1.24      0.57
     25.50      3.10      0.25      0.85      0.15      1.65      1.29      0.57
     37.78      3.83      0.25      0.90      0.29      1.54      1.15      0.58
     27.45      8.40      0.31      0.62      0.20      1.84      1.10      0.55
     34.99      1.31      0.35      1.09      0.10      1.34      1.12      0.55
     34.43      8.22      0.35      0.84      0.08      1.75      1.12      0.57
     28.04      8.73      0.22      1.07      0.14      1.65      1.20      0.55
     33.75      1.74      0.38      0.89      0.25      1.47      1.09      0.55
     32.02      8.76      0.26      0.78      0.27      1.37      1.20      0.55
     35.77      2.37      0.35      0.64      0.15      1.63      1.21      0.55
     37.43      1.43      0.39      0.69      0.06      1.76      1.10      0.53
     26.84      5.04      0.21      0.64      0.23      1.34      1.25      0.58
     36.81      7.98      0.34      0.98      0.23      1.97      1.07      0.56
     29.51      3.67      0.30      0.68      0.10      1.59      1.17      0.58
     33.27      8.23      0.36      0.74      0.17      1.33      1.17      0.60
     36.21      4.02      0.27      0.77      0.20      1.47      1.26      0.57
     33.43      2.63      0.23      1.00      0.06      1.68      1.15      0.55
     32.04      6.07      0.39      1.08      0.25      1.45      1.20      0.58
     34.62      1.32      0.29      0.65      0.27      1.54      1.09      0.54
     34.89      4.00      0.37      0.76      0.24      1.04      1.29      0.56
     36.11      5.39      0.35      0.90      0.21      1.20      1.05      0.54
     37.86      5.85      0.36      0.69      0.14      1.65      1.27      0.56
     37.13      7.71      0.27      1.09      0.23      1.48      1.21      0.54
     35.26      6.94      0.38      0.72      0.26      1.37      1.29      0.58
     34.09      6.86      0.39      0.73      0.16      1.25      1.27      0.55
     26.74      3.72      0.25      1.00      0.13      1.51      1.22      0.58
     26.68      8.54      0.34      0.74      0.26      1.40      1.27      0.58
     32.54      8.05      0.27      0.97      0.29      1.80      1.08      0.57
     37.89      6.14      0.22      0.85      0.26      1.47      1.13      0.56
     28.71      2.47      0.33      0.94      0.07      1.75      1.21      0.54
     31.58      1.54      0.30      0.97      0.22      1.41      1.26      0.59
     38.97      7.60      0.22      0.75      0.17      1.16      1.28      0.56
     38.18      6.68      0.28      0.75      0.19      1.40      1.13      0.60
     37.35      4.65      0.37      0.75      0.09      1.14      1.14      0.56
     29.82      3.08      0.26      0.67      0.17      1.70      1.05      0.59
     38.16      6.45      0.20      0.88      0.09      1.07      1.24      0.54
     31.82      4.46      0.30      1.10      0.12      1.40      1.13      0.58
     31.06      4.22      0.33      0.97      0.21      1.42      1.26      0.55
     39.03      7.61      0.39      0.71      0.25      1.64      1.19      0.54
     29.41      2.73      0.21      0.88      0.23      1.38      1.14      0.56
     36.04      6.76      0.29      0.60      0.25      1.35      1.29      0.54
     37.94      1.15      0.22      0.63      0.21      1.57      1.18      0.57
     27.04      7.09      0.29      0.83      0.08      1.82      1.25      0.59
     29.88      5.87      0.31      0.86      0.14      1.15      1.25      0.59
     29.19      4.58      0.21      1.07      0.19      1.64      1.29      0.58
     28.09      2.87      0.32      1.01      0.07      1.37      1.15      0.55
     33.14      1.81      0.34      0.78      0.19      1.63      1.19      0.59
     27.93      7.68      0.25      0.76      0.11      1.16      1.06      0.58
     37.49      3.95      0.27      0.91      0.08      1.31      1.10      0.54
     35.36      8.11      0.25      0.63      0.15      1.99      1.12      0.54
     38.51      8.99      0.28      0.85      0.26      1.55      1.15      0.59
     25.82      4.25      0.36      0.73      0.25      1.90      1.08      0.54
     38.42      2.82      0.28      0.63      0.09      1.44      1.18      0.58
     30.69      8.74      0.30      0.73      0.15      1.85      1.22      0.54

 #-----------Update Pop P_com-----           1 /          20
     Omega        hs        n         ec0       alpha     beta      rat_ed    rat_ei
 -------------------------------------------------------
     33.48      3.07      0.27      0.76      0.21      1.82      1.23      0.56
     33.98      2.17      0.24      0.84      0.21      1.85      1.13      0.56
     34.01      8.56      0.30      0.74      0.06      1.20      1.19      0.53
     30.18      1.70      0.25      0.85      0.13      1.52      1.23      0.55
     34.96      5.42      0.39      0.91      0.13      1.89      1.18      0.60
     34.62      6.55      0.23      1.02      0.25      1.80      1.22      0.60
     32.38      7.77      0.39      0.63      0.26      1.57      1.24      0.53
     28.31      3.53      0.28      0.71      0.18      1.52      1.29      0.57
     25.91      1.30      0.24      1.01      0.08      1.84      1.20      0.55
     28.46      2.07      0.36      0.74      0.22      1.40      1.23      0.56
     38.41      3.09      0.35      0.92      0.11      1.54      1.15      0.56
     27.64      7.09      0.38      1.05      0.14      1.43      1.21      0.59

 #---------Update Pop P_eli-----           2 /          20
     Omega        hs        n         ec0       alpha     beta      rat_ei    rat_ed
 -----------------------------------------------------
     34.75      3.23      0.20      1.03      0.16      1.84      1.12      0.55
     33.57      8.04      0.22      0.95      0.22      1.21      1.18      0.57
     34.33      3.64      0.21      0.97      0.19      1.42      1.18      0.57
     33.86      4.53      0.21      0.99      0.21      1.96      1.10      0.58
     35.94      2.01      0.23      0.92      0.26      1.08      1.15      0.56


 #---------Update Pop P_mat-----           2 /          20
     Omega        hs        n         ec0       alpha     beta      rat_ei    rat_ed
 -----------------------------------------------------
     33.01      6.21      0.27      0.98      0.21      1.40      1.10      0.57
     33.66      5.85      0.31      0.93      0.14      1.59      1.20      0.57
     35.99      2.03      0.28      0.92      0.19      1.22      1.16      0.56
     36.37      4.32      0.23      0.92      0.24      1.73      1.15      0.56
     31.69      6.05      0.24      0.95      0.19      1.48      1.23      0.59
     31.87      4.17      0.24      0.92      0.19      1.58      1.15      0.56
     31.85      5.92      0.22      0.95      0.11      1.52      1.17      0.55
     34.24      3.82      0.25      1.04      0.07      1.49      1.22      0.56
     35.40      6.33      0.24      1.00      0.11      1.40      1.16      0.56
     33.31      7.18      0.27      0.84      0.24      1.75      1.17      0.57
     35.63      4.03      0.25      0.99      0.13      1.32      1.15      0.57
     33.49      3.46      0.29      0.96      0.19      1.39      1.17      0.57
     35.56      2.81      0.30      0.92      0.12      1.64      1.11      0.58
     35.45      2.69      0.25      0.88      0.25      1.74      1.17      0.58
     37.30      2.15      0.27      1.03      0.09      1.73      1.17      0.54
     33.92      2.95      0.29      0.95      0.14      1.17      1.22      0.58
     34.27      5.59      0.24      0.94      0.19      1.54      1.28      0.57
     35.74      3.63      0.25      0.90      0.22      1.71      1.22      0.57
     32.40      4.35      0.26      0.95      0.18      1.67      1.21      0.57
     36.31      5.28      0.26      0.99      0.15      1.31      1.16      0.55
     36.79      7.01      0.22      0.95      0.18      1.59      1.10      0.55
     32.15      6.05      0.34      0.93      0.15      1.27      1.13      0.57
     35.65      4.48      0.29      0.85      0.19      1.76      1.17      0.56
     36.70      3.13      0.30      0.93      0.18      1.52      1.07      0.57
     34.10      4.34      0.31      0.94      0.16      1.64      1.22      0.57
     35.40      2.43      0.30      0.92      0.09      1.55      1.20      0.56
     33.26      4.98      0.22      1.00      0.17      1.32      1.21      0.56
     35.60      6.10      0.27      0.94      0.16      1.62      1.20      0.57
     36.02      7.86      0.27      0.86      0.19      1.52      1.18      0.58
     29.93      5.42      0.21      0.96      0.19      1.65      1.10      0.55
     32.58      6.36      0.34      0.88      0.19      1.57      1.09      0.57
     31.04      4.91      0.23      0.97      0.15      1.63      1.26      0.57
     32.12      7.38      0.27      0.94      0.15      1.17      1.16      0.55
     36.20      4.34      0.25      0.90      0.18      1.30      1.12      0.56
     34.16      5.55      0.23      0.94      0.21      1.19      1.14      0.55
     33.09      6.17      0.25      1.06      0.08      1.47      1.19      0.57
     32.66      5.05      0.24      0.98      0.20      1.69      1.10      0.55
     33.83      3.40      0.27      0.95      0.12      1.05      1.15      0.57
     32.74      4.01      0.24      1.02      0.09      1.24      1.21      0.56
     34.79      7.66      0.27      0.82      0.24      1.25      1.12      0.55
     32.48      7.82      0.23      0.94      0.22      1.17      1.17      0.56
     34.13      5.53      0.28      0.92      0.19      1.61      1.23      0.58
     34.24      7.61      0.25      0.98      0.17      1.25      1.17      0.56
     34.48      4.61      0.24      0.99      0.18      1.54      1.12      0.58
     34.34      3.51      0.28      0.87      0.22      1.69      1.10      0.57
     30.16      3.48      0.33      1.03      0.22      1.31      1.22      0.57
     35.19      6.40      0.29      0.88      0.21      1.47      1.16      0.56
     36.46      4.49      0.29      0.93      0.13      1.33      1.15      0.56
     37.72      4.49      0.23      0.90      0.20      1.43      1.14      0.55
     34.75      3.06      0.29      1.03      0.07      1.57      1.17      0.55
     32.45      4.65      0.27      0.91      0.24      1.99      1.13      0.57
     34.74      7.76      0.25      0.95      0.17      1.64      1.09      0.54
     34.62      4.42      0.26      1.03      0.12      1.79      1.06      0.58
     33.69      5.52      0.25      1.03      0.14      1.74      1.19      0.55
     32.82      7.51      0.31      0.91      0.20      1.67      1.08      0.56
     37.13      7.25      0.25      1.03      0.08      1.30      1.06      0.58
     32.69      6.14      0.30      0.90      0.20      1.58      1.26      0.58
     34.25      3.71      0.22      0.93      0.20      1.51      1.18      0.54
     31.79      1.65      0.29      0.98      0.08      1.43      1.23      0.59
     36.23      1.75      0.27      0.91      0.15      1.60      1.14      0.58
     32.79      4.00      0.28      1.06      0.08      1.37      1.20      0.55
     28.44      3.78      0.32      0.88      0.25      1.30      1.10      0.57
     35.07      4.42      0.26      0.96      0.21      1.32      1.20      0.55
     37.56      7.91      0.26      0.95      0.16      1.35      1.11      0.58
     34.34      6.30      0.28      1.00      0.12      1.41      1.15      0.56
     33.67      4.96      0.28      0.95      0.20      1.38      1.13      0.59
     34.19      6.07      0.28      0.90      0.20      1.37      1.10      0.55
     35.01      6.00      0.25      0.95      0.25      1.59      1.14      0.58
     33.42      6.79      0.26      0.92      0.18      1.69      1.13      0.58
     30.86      5.55      0.25      0.92      0.16      1.49      1.16      0.57
     34.97      5.01      0.25      0.84      0.26      1.41      1.20      0.55
     34.70      4.07      0.22      0.93      0.25      1.48      1.15      0.56
     34.72      4.23      0.24      0.96      0.14      1.36      1.15      0.55
     33.01      5.97      0.29      0.99      0.17      1.37      1.13      0.57
     32.15      3.86      0.21      0.96      0.16      1.39      1.07      0.58
     33.64      5.45      0.23      0.92      0.23      1.59      1.28      0.56
     35.88      4.57      0.22      0.99      0.13      1.71      1.15      0.55
     30.21      6.50      0.23      0.96      0.21      1.55      1.15      0.54
     32.55      3.40      0.27      0.90      0.13      1.33      1.20      0.54
     37.55      4.03      0.28      0.98      0.10      1.87      1.20      0.59
     32.95      4.38      0.30      1.03      0.18      1.41      1.17      0.55
     33.45      2.09      0.25      0.83      0.23      1.39      1.25      0.55
     32.97      2.91      0.25      1.01      0.19      1.23      1.16      0.56
     33.70      5.44      0.25      0.97      0.13      1.33      1.17      0.54
     32.62      4.61      0.24      0.97      0.19      1.95      1.17      0.57
     32.82      3.61      0.26      0.95      0.11      1.59      1.27      0.58
     33.21      3.69      0.29      0.90      0.19      1.34      1.20      0.58
     33.93      5.61      0.25      0.95      0.19      1.64      1.17      0.56
     34.03      4.16      0.26      0.94      0.13      1.32      1.14      0.57
     34.17      4.49      0.25      0.97      0.21      1.29      1.10      0.57
     32.86      4.01      0.28      1.05      0.08      1.37      1.19      0.59
     34.33      4.99      0.26      0.90      0.20      1.19      1.10      0.56
     33.88      7.50      0.24      0.89      0.26      1.68      1.16      0.57
     36.17      4.28      0.29      0.90      0.15      1.80      1.13      0.59
     33.41      5.82      0.28      0.96      0.11      1.27      1.16      0.56
     33.35      2.78      0.24      0.92      0.13      1.30      1.15      0.55
     34.85      5.73      0.29      0.94      0.19      1.25      1.10      0.54
     35.20      5.72      0.29      0.96      0.07      1.61      1.10      0.54
     32.96      5.10      0.23      0.97      0.19      1.41      1.21      0.55
     35.04      3.59      0.23      0.86      0.21      1.46      1.16      0.56
     38.30      2.39      0.33      0.88      0.13      1.49      1.14      0.56
     37.47      3.46      0.27      0.93      0.14      1.35      1.14      0.56
     33.56      3.23      0.27      0.92      0.21      1.76      1.11      0.57
     36.72      3.30      0.28      1.01      0.15      1.23      1.19      0.57
     36.48      5.81      0.26      0.94      0.20      1.45      1.22      0.56
     33.20      6.28      0.32      0.89      0.22      1.28      1.15      0.56
     34.27      3.93      0.27      0.96      0.28      1.56      1.09      0.55
     30.85      5.03      0.22      0.92      0.22      1.44      1.10      0.55
     33.47      3.56      0.23      1.04      0.16      1.60      1.15      0.57
     33.90      3.73      0.29      0.95      0.21      1.76      1.15      0.57
     35.43      3.94      0.26      0.90      0.22      1.33      1.14      0.57
     30.62      5.59      0.21      0.90      0.20      1.35      1.19      0.56
     35.20      2.95      0.38      0.91      0.15      1.30      1.11      0.55
     31.18      6.43      0.25      0.94      0.23      1.29      1.11      0.57
     30.96      5.02      0.25      0.94      0.24      1.42      1.25      0.59
     34.97      5.89      0.21      0.98      0.27      1.45      1.15      0.54
     34.55      6.40      0.25      0.93      0.17      1.15      1.11      0.59
     28.86      3.04      0.24      0.99      0.19      1.17      1.14      0.56
     36.65      7.03      0.26      0.96      0.16      1.31      1.14      0.54
     31.72      6.44      0.25      0.87      0.24      1.77      1.17      0.58
     36.41      5.41      0.23      0.96      0.19      1.13      1.16      0.54
     35.46      7.24      0.26      1.00      0.16      1.37      1.15      0.55
     35.50      3.33      0.34      0.97      0.14      1.58      1.23      0.56
     34.95      5.25      0.23      0.94      0.12      1.78      1.10      0.55
     33.31      5.10      0.27      0.88      0.22      1.24      1.24      0.58
     35.03      6.62      0.21      0.86      0.20      1.54      1.15      0.56
     31.38      3.22      0.36      0.99      0.11      1.71      1.14      0.57
     34.28      6.40      0.25      0.96      0.19      1.60      1.23      0.60
     35.47      1.75      0.28      0.87      0.25      1.51      1.12      0.55
     32.00      3.38      0.23      0.92      0.26      1.33      1.16      0.56
     34.13      8.15      0.29      0.96      0.17      1.38      1.19      0.54
     34.44      6.09      0.29      0.98      0.14      1.46      1.17      0.54
     34.99      4.15      0.29      0.92      0.14      1.34      1.16      0.55
     31.46      5.88      0.25      0.97      0.16      1.24      1.16      0.56
     33.53      3.39      0.30      0.86      0.23      1.30      1.14      0.55
     37.21      1.79      0.28      0.97      0.19      1.57      1.16      0.57
     35.03      4.33      0.30      0.92      0.19      1.37      1.09      0.56
     33.20      6.24      0.24      1.01      0.23      1.37      1.16      0.55
     32.67      5.61      0.23      0.92      0.23      1.55      1.19      0.54
     34.24      5.64      0.27      0.86      0.22      1.64      1.17      0.56
     33.18      5.66      0.24      0.92      0.19      1.50      1.22      0.54
     29.65      5.77      0.24      1.03      0.20      1.50      1.14      0.59
     31.14      2.56      0.32      0.96      0.25      1.50      1.08      0.54
     38.47      3.97      0.32      0.94      0.12      1.53      1.14      0.57
     32.64      3.92      0.27      0.99      0.24      1.85      1.15      0.57
     34.60      3.91      0.34      0.97      0.15      1.51      1.09      0.56
     32.63      1.69      0.32      0.97      0.21      1.21      1.08      0.57
     36.52      5.44      0.26      0.93      0.16      1.97      1.10      0.57
     34.21      6.15      0.25      0.99      0.17      1.36      1.18      0.55
     36.84      3.80      0.24      0.91      0.29      1.58      1.15      0.58
     33.59      6.27      0.23      0.94      0.24      1.37      1.16      0.56
     32.04      4.52      0.30      0.94      0.20      1.31      1.15      0.59
     33.49      6.37      0.24      0.98      0.19      1.24      1.18      0.54
     35.58      5.71      0.33      0.81      0.20      1.59      1.18      0.57
     37.90      4.10      0.29      1.03      0.11      1.66      1.10      0.59
     31.78      8.44      0.24      0.99      0.14      1.29      1.09      0.56
     36.26      6.46      0.24      0.94      0.20      1.30      1.13      0.55
     32.85      2.65      0.26      0.94      0.21      1.48      1.15      0.57
     33.41      1.99      0.28      1.00      0.21      1.29      1.24      0.55
     29.85      4.18      0.26      1.07      0.20      1.32      1.14      0.53
     32.82      5.21      0.26      0.90      0.24      1.79      1.23      0.56
     36.67      6.17      0.25      1.04      0.12      1.94      1.07      0.54
     37.81      1.87      0.29      0.96      0.22      1.55      1.12      0.54
     32.35      5.07      0.25      1.04      0.26      1.49      1.16      0.56
     35.04      3.99      0.30      0.96      0.22      1.44      1.14      0.57
     37.09      8.37      0.23      0.96      0.14      1.34      1.07      0.59
     33.55      2.92      0.30      0.88      0.24      1.34      1.12      0.55
     33.29      3.34      0.23      0.91      0.23      1.91      1.13      0.57
     32.96      4.55      0.25      0.96      0.17      1.63      1.14      0.56
     33.56      2.68      0.24      0.98      0.14      1.41      1.14      0.56
     35.47      2.79      0.31      0.89      0.21      1.57      1.14      0.56
     34.37      5.09      0.28      1.03      0.15      1.76      1.07      0.58
     31.38      8.50      0.25      0.92      0.14      1.70      1.17      0.57
     33.18      4.41      0.23      0.90      0.24      1.57      1.13      0.56
     31.14      7.52      0.31      0.95      0.17      1.39      1.18      0.57
     34.58      1.75      0.29      1.01      0.12      1.82      1.16      0.58
     37.21      6.77      0.23      1.00      0.15      1.19      1.20      0.55
     32.70      3.33      0.23      0.96      0.21      1.63      1.15      0.57
     37.90      3.86      0.25      0.92      0.24      1.52      1.14      0.59
     34.36      3.91      0.32      0.92      0.20      1.59      1.19      0.57
     35.12      7.49      0.24      0.99      0.08      1.34      1.07      0.55
     34.44      4.83      0.24      0.89      0.13      1.76      1.20      0.57
     34.10      6.35      0.26      0.93      0.18      1.32      1.23      0.59
     38.03      3.03      0.27      0.88      0.18      1.49      1.10      0.57
     27.31      6.14      0.23      0.92      0.25      1.63      1.12      0.57
     32.45      5.08      0.22      0.96      0.23      1.17      1.17      0.56
     36.32      4.67      0.29      0.89      0.10      1.11      1.23      0.57
     31.83      7.76      0.22      1.02      0.23      1.50      1.13      0.57
     30.68      6.38      0.26      0.83      0.23      1.75      1.11      0.54
     33.68      4.42      0.21      0.97      0.19      1.69      1.18      0.56
     34.31      4.93      0.25      0.84      0.20      1.52      1.23      0.59
     32.77      3.84      0.25      0.98      0.17      1.73      1.15      0.55
     33.79      5.19      0.29      0.90      0.10      1.77      1.15      0.56
     33.66      4.45      0.28      0.96      0.17      1.78      1.13      0.56
     33.31      5.02      0.29      0.98      0.18      1.64      1.13      0.59
     34.17      6.24      0.24      0.97      0.09      1.26      1.16      0.55
     31.09      5.42      0.23      1.01      0.17      1.56      1.17      0.54
     37.87      2.23      0.25      0.91      0.16      1.62      1.14      0.58
     36.69      1.53      0.34      1.05      0.18      1.24      1.19      0.56
     36.03      3.94      0.25      0.90      0.26      1.62      1.13      0.58
     32.87      3.00      0.31      0.95      0.11      1.22      1.12      0.54
     33.30      6.80      0.25      0.94      0.25      1.60      1.16      0.56
     29.36      3.85      0.22      1.08      0.21      1.51      1.16      0.58
     32.97      5.65      0.28      1.03      0.10      1.44      1.21      0.58
     34.47      6.37      0.27      0.86      0.26      1.56      1.20      0.54
     34.43      4.52      0.22      1.01      0.14      1.28      1.11      0.58
     31.87      6.16      0.30      0.83      0.19      1.71      1.27      0.58
     33.71      4.14      0.27      0.97      0.11      1.33      1.07      0.57
     30.74      5.36      0.24      0.96      0.17      1.20      1.21      0.57
     35.06      6.47      0.28      0.97      0.22      1.34      1.14      0.56
     37.15      5.27      0.20      1.03      0.13      1.52      1.11      0.55
     33.02      3.98      0.29      0.91      0.12      1.34      1.21      0.58
     34.85      4.33      0.27      1.07      0.20      1.89      1.15      0.56
     35.28      3.11      0.31      0.98      0.11      1.19      1.16      0.57
     32.34      7.64      0.25      0.95      0.24      1.18      1.11      0.56
     30.61      5.39      0.23      1.07      0.15      1.48      1.13      0.54
     36.87      5.19      0.21      0.98      0.16      1.71      1.21      0.54
     34.55      3.90      0.29      0.89      0.27      1.66      1.19      0.57
     34.79      2.31      0.30      0.86      0.19      1.49      1.23      0.58
     34.54      4.06      0.25      0.97      0.15      1.68      1.10      0.57
