 #--- Initial_population -----------------------------
     Omega        hs        n         ec0       alpha     beta      rat_ed    rat_ei
     32.40      1.61      0.31      0.90      0.27      1.60      1.13      0.54
     34.51      2.84      0.32      1.04      0.11      1.59      1.07      0.58
     35.06      5.12      0.26      0.89      0.10      1.82      1.15      0.58
     30.31      6.71      0.32      0.88      0.26      1.38      1.23      0.54
     26.30      3.37      0.25      0.93      0.19      1.61      1.15      0.54
     32.28      1.26      0.25      0.96      0.13      1.81      1.26      0.58
     33.11      2.48      0.33      0.83      0.18      1.29      1.17      0.59
     36.96      7.19      0.21      0.89      0.13      1.26      1.29      0.56
     33.70      2.23      0.37      0.91      0.17      1.58      1.11      0.57
     38.07      1.80      0.30      1.08      0.13      1.50      1.14      0.54
     29.57      4.58      0.23      0.91      0.26      1.57      1.13      0.58
     31.24      6.80      0.36      0.80      0.20      1.84      1.20      0.56
     34.71      6.77      0.29      0.87      0.23      1.46      1.13      0.54
     33.68      1.24      0.27      0.95      0.22      1.81      1.20      0.59
     33.86      6.62      0.27      0.88      0.29      1.79      1.17      0.57
     30.38      7.13      0.23      0.85      0.26      1.33      1.24      0.56
     34.89      4.85      0.29      0.92      0.18      1.60      1.28      0.58
     30.89      1.78      0.33      0.90      0.26      1.47      1.21      0.56
     30.56      1.34      0.27      0.98      0.16      1.42      1.07      0.56
     31.05      3.69      0.25      0.87      0.29      1.58      1.19      0.56
     30.63      5.13      0.25      0.88      0.21      1.58      1.11      0.57
     32.98      4.16      0.31      0.88      0.23      1.61      1.24      0.53
     32.13      5.45      0.32      1.08      0.13      1.34      1.18      0.53
     32.87      4.53      0.21      1.02      0.09      1.75      1.23      0.58
     33.79      5.71      0.30      0.81      0.21      1.31      1.09      0.59
     36.44      7.00      0.38      0.88      0.06      1.48      1.07      0.56
     34.07      2.49      0.27      0.88      0.17      1.75      1.10      0.56
     35.22      1.65      0.23      0.87      0.20      1.50      1.15      0.56
     29.31      4.53      0.22      0.99      0.24      1.60      1.09      0.55
     28.58      4.74      0.26      1.05      0.08      1.18      1.12      0.59
     33.54      3.47      0.29      0.93      0.21      1.44      1.28      0.55
     34.99      7.52      0.32      0.87      0.09      1.87      1.28      0.55
     31.52      1.72      0.27      1.00      0.19      1.35      1.13      0.56
     34.60      7.44      0.30      0.89      0.24      1.54      1.23      0.57
     35.69      4.33      0.36      1.05      0.12      1.89      1.08      0.55
     29.96      7.07      0.28      0.88      0.10      1.44      1.09      0.55
     28.43      6.99      0.25      0.98      0.22      1.61      1.20      0.54
     29.04      7.27      0.25      0.91      0.21      1.72      1.21      0.55
     36.26      3.42      0.21      0.97      0.18      1.37      1.11      0.56
     36.23      5.89      0.38      0.99      0.15      1.66      1.26      0.57
     36.63      5.55      0.22      0.89      0.26      1.82      1.16      0.59
     31.28      6.73      0.25      0.81      0.19      1.81      1.26      0.59
     36.66      5.65      0.21      0.97      0.08      1.54      1.12      0.58
     37.81      4.49      0.35      1.03      0.25      1.58      1.17      0.60
     35.92      3.85      0.28      0.94      0.24      1.51      1.15      0.59
     34.65      1.68      0.31      1.00      0.15      1.66      1.21      0.58
     37.61      6.96      0.22      0.88      0.28      1.64      1.21      0.55
     37.27      4.96      0.28      0.85      0.21      1.77      1.21      0.54
     39.06      2.64      0.26      0.86      0.20      1.83      1.20      0.55
     32.35      5.20      0.30      0.77      0.24      1.46      1.28      0.58
     30.89      2.55      0.35      0.87      0.14      1.57      1.12      0.57
     30.88      5.22      0.21      0.88      0.28      1.67      1.17      0.59

 #-----------Update Pop P_ran-----           1 /          20
     phi        hs        n         ec0       alpha     beta      rat_ei    rat_ed
 -------------------------------------------------------
     27.25      2.02      0.25      0.91      0.20      1.45      1.06      0.59
     29.45      8.04      0.34      0.99      0.27      1.44      1.16      0.55
     28.90      5.73      0.23      0.92      0.27      1.21      1.27      0.55
     27.58      6.38      0.40      0.94      0.09      1.50      1.08      0.58
     34.52      6.83      0.23      0.96      0.21      1.74      1.12      0.56
     25.40      7.34      0.25      0.81      0.27      1.50      1.23      0.57
     37.32      1.85      0.23      0.94      0.17      1.45      1.15      0.55
     30.17      5.82      0.28      0.71      0.12      1.55      1.20      0.57
     29.74      7.33      0.39      0.78      0.12      1.52      1.07      0.54
     35.66      1.30      0.36      0.65      0.23      1.52      1.27      0.54
     31.41      7.87      0.34      0.72      0.05      1.36      1.20      0.60
     38.04      5.02      0.38      0.62      0.25      1.27      1.10      0.54
     37.59      1.28      0.32      0.66      0.07      1.92      1.25      0.59
     39.01      7.96      0.32      0.72      0.10      1.96      1.10      0.60
     39.71      3.41      0.22      0.66      0.29      1.41      1.20      0.53
     39.01      3.44      0.22      1.07      0.18      1.73      1.19      0.53
     25.52      8.45      0.24      0.67      0.17      1.32      1.16      0.59
     27.05      8.36      0.31      0.63      0.20      1.95      1.14      0.56
     35.08      5.15      0.37      0.85      0.12      1.17      1.29      0.57
     33.25      4.40      0.40      1.03      0.12      1.21      1.22      0.59
     34.35      4.21      0.22      0.99      0.30      1.08      1.26      0.54
     33.86      8.48      0.38      0.84      0.06      1.41      1.17      0.57
     31.98      6.12      0.35      0.68      0.13      1.77      1.12      0.55
     33.90      6.22      0.25      0.61      0.24      1.58      1.25      0.59
     36.83      2.39      0.22      0.98      0.05      1.40      1.24      0.55
     25.99      8.48      0.21      0.79      0.26      1.20      1.07      0.55
     31.01      6.91      0.35      0.86      0.11      1.62      1.28      0.56
     36.59      4.30      0.25      0.80      0.15      1.20      1.30      0.54
     29.56      8.22      0.29      0.81      0.29      1.99      1.15      0.56
     34.33      8.10      0.28      0.68      0.15      1.98      1.16      0.55
     38.73      7.64      0.35      0.78      0.17      1.40      1.10      0.55
     30.75      7.44      0.38      1.06      0.10      1.00      1.08      0.57
     27.47      7.47      0.25      1.07      0.25      1.79      1.06      0.53
     31.76      3.18      0.30      0.97      0.18      1.92      1.17      0.54
     39.18      3.23      0.36      0.96      0.29      1.18      1.06      0.54
     32.67      5.86      0.25      1.00      0.24      1.35      1.10      0.59
     28.81      4.91      0.23      0.75      0.17      1.52      1.20      0.59
     32.26      4.68      0.34      0.91      0.28      1.79      1.13      0.58
     32.02      1.07      0.33      0.61      0.07      1.25      1.26      0.59
     30.38      2.23      0.31      0.94      0.10      1.73      1.27      0.55
     30.51      6.76      0.24      0.91      0.24      1.83      1.08      0.56
     32.32      8.20      0.23      1.07      0.23      1.23      1.09      0.55
     34.02      4.87      0.32      0.89      0.19      1.57      1.19      0.57
     38.91      5.13      0.28      0.63      0.07      1.08      1.23      0.58
     32.91      6.02      0.25      0.87      0.12      1.59      1.20      0.54
     35.38      8.78      0.32      1.05      0.06      1.06      1.25      0.55
     27.62      5.47      0.38      0.67      0.07      1.59      1.22      0.58
     34.21      8.41      0.21      0.72      0.22      1.49      1.20      0.58
     37.05      6.74      0.22      1.09      0.29      1.33      1.26      0.56
     27.53      7.91      0.25      0.75      0.21      1.47      1.21      0.58
     31.74      5.96      0.23      0.98      0.21      1.49      1.21      0.56
     33.59      8.67      0.21      0.72      0.27      1.99      1.24      0.59
     27.59      5.66      0.28      0.90      0.11      1.05      1.25      0.58
     33.82      2.17      0.34      0.68      0.07      1.27      1.25      0.57
     38.29      5.22      0.22      1.01      0.11      1.09      1.11      0.58
     33.52      8.67      0.21      0.71      0.12      1.42      1.16      0.59
     34.74      3.24      0.37      0.61      0.12      1.81      1.22      0.60
     35.74      8.79      0.40      0.89      0.06      1.27      1.26      0.53
     30.41      8.74      0.22      1.06      0.09      1.75      1.12      0.55
     30.31      3.94      0.21      0.80      0.07      1.51      1.19      0.57
     29.75      8.69      0.24      0.81      0.11      1.32      1.29      0.59
     34.58      8.19      0.27      0.78      0.30      1.49      1.28      0.56
     35.32      4.09      0.27      0.84      0.18      1.02      1.21      0.54
     25.22      1.32      0.31      0.68      0.16      1.15      1.08      0.59
     25.86      5.64      0.32      0.72      0.22      1.11      1.11      0.56
     35.29      3.36      0.25      0.99      0.08      1.64      1.06      0.55
     25.44      7.26      0.21      1.05      0.18      1.04      1.19      0.55
     28.06      1.41      0.28      1.00      0.24      1.74      1.15      0.54
     37.11      4.01      0.32      0.70      0.10      1.01      1.06      0.55
     30.37      4.94      0.39      0.75      0.20      1.19      1.07      0.57
     33.48      7.85      0.26      0.84      0.16      1.55      1.07      0.55
     39.65      1.07      0.22      0.63      0.06      1.54      1.24      0.58
     30.18      3.50      0.22      0.70      0.10      1.42      1.27      0.57
     34.51      2.48      0.24      1.07      0.13      1.59      1.22      0.56
     36.33      1.55      0.31      0.70      0.06      1.06      1.08      0.58
     39.49      8.63      0.32      0.88      0.29      1.79      1.09      0.59
     37.03      7.17      0.36      1.01      0.09      1.01      1.17      0.53
     31.41      5.57      0.28      1.01      0.23      1.67      1.12      0.57
     37.28      1.50      0.34      0.92      0.08      1.91      1.17      0.54
     26.69      4.32      0.30      0.76      0.06      1.74      1.20      0.57
     38.27      6.27      0.40      1.00      0.16      1.32      1.28      0.57
     31.94      3.59      0.22      0.84      0.10      1.79      1.24      0.57
     37.45      5.45      0.27      0.81      0.08      1.82      1.15      0.57
     39.93      6.21      0.36      0.82      0.18      1.78      1.12      0.57
     31.95      8.29      0.38      0.91      0.05      1.80      1.28      0.59
     37.93      6.52      0.21      0.65      0.10      1.63      1.16      0.58
     32.43      1.55      0.26      0.98      0.10      1.69      1.20      0.58
     26.89      1.16      0.37      0.67      0.09      1.79      1.19      0.59
     27.49      2.10      0.40      0.94      0.14      1.03      1.08      0.58
     35.77      3.55      0.31      1.02      0.11      1.52      1.23      0.60
     33.29      3.59      0.38      0.84      0.21      1.80      1.27      0.58
     31.77      3.29      0.26      0.90      0.19      1.97      1.06      0.54
     30.21      5.92      0.34      1.05      0.29      1.63      1.27      0.56
     34.38      7.99      0.30      0.79      0.18      1.41      1.24      0.60
     35.86      4.54      0.20      1.03      0.28      1.17      1.10      0.54
     27.62      6.44      0.20      1.08      0.13      1.41      1.14      0.58
     38.93      2.56      0.37      0.91      0.10      1.40      1.24      0.59
     32.44      7.90      0.38      0.67      0.22      1.03      1.20      0.60
     35.94      5.65      0.30      0.75      0.17      1.40      1.20      0.58
     27.72      2.92      0.38      0.86      0.23      1.63      1.29      0.57
     30.14      7.00      0.37      0.81      0.05      1.69      1.14      0.54
     26.23      6.02      0.25      0.72      0.21      1.70      1.19      0.58
     28.49      2.69      0.35      1.03      0.19      1.71      1.19      0.57
     36.53      8.37      0.32      0.82      0.06      1.83      1.07      0.54
     26.37      1.97      0.26      0.72      0.10      1.53      1.23      0.57
     35.66      8.91      0.27      0.75      0.18      1.90      1.14      0.57
     39.56      5.47      0.27      0.76      0.10      1.94      1.14      0.57
     25.37      1.29      0.20      0.77      0.13      1.16      1.13      0.55
     31.78      7.97      0.23      0.73      0.09      1.98      1.21      0.55
     38.36      5.92      0.37      1.10      0.20      1.96      1.24      0.53
     31.10      6.78      0.25      0.89      0.10      1.67      1.05      0.58
     32.80      8.73      0.34      1.05      0.10      1.44      1.28      0.59
     39.80      2.55      0.25      0.92      0.16      1.78      1.05      0.53
     35.26      7.34      0.34      0.89      0.28      1.92      1.22      0.57
     28.17      7.29      0.27      0.77      0.25      1.09      1.29      0.57
     25.09      1.43      0.38      0.84      0.08      1.65      1.07      0.59
     30.89      7.14      0.20      0.76      0.07      1.34      1.22      0.59
     28.96      1.28      0.34      1.01      0.16      1.69      1.20      0.54
     29.04      3.50      0.22      0.92      0.09      1.85      1.23      0.53
     31.05      7.31      0.25      1.00      0.22      1.80      1.14      0.56
     25.21      8.23      0.24      1.06      0.05      1.18      1.19      0.56
     37.62      1.35      0.21      0.64      0.17      1.84      1.05      0.53
     26.67      2.08      0.29      1.07      0.14      1.34      1.27      0.59
     34.62      7.70      0.33      0.72      0.23      1.29      1.08      0.56
     30.57      4.03      0.25      0.95      0.28      1.64      1.06      0.57
     34.45      7.49      0.36      0.78      0.27      1.69      1.20      0.59
     37.50      4.86      0.30      0.76      0.12      1.47      1.27      0.56
     35.10      2.14      0.21      0.85      0.18      1.56      1.15      0.55
     27.76      6.15      0.21      0.95      0.16      1.43      1.19      0.56
     33.88      5.69      0.31      0.62      0.12      1.61      1.08      0.58
     37.17      1.04      0.37      0.75      0.23      1.05      1.15      0.55
     29.46      3.20      0.31      0.71      0.24      1.00      1.25      0.55
     39.83      5.82      0.36      0.67      0.16      1.67      1.17      0.59
     37.79      8.69      0.36      0.77      0.30      1.91      1.11      0.59
     31.46      7.93      0.20      0.61      0.07      1.18      1.27      0.53
     31.03      1.64      0.33      0.64      0.19      1.42      1.22      0.59
     26.46      5.79      0.35      0.72      0.09      1.73      1.26      0.55
     28.01      3.36      0.29      0.83      0.09      1.52      1.28      0.57
     31.80      7.64      0.38      0.89      0.24      1.08      1.21      0.58
     26.12      1.29      0.28      0.84      0.27      1.21      1.12      0.54
     30.54      7.21      0.26      0.81      0.22      1.03      1.23      0.54
     37.92      8.62      0.35      0.82      0.14      1.29      1.26      0.55
     39.74      2.21      0.36      0.79      0.18      1.05      1.16      0.56
     37.15      8.46      0.33      0.67      0.30      1.67      1.21      0.53
     35.02      5.39      0.25      1.08      0.19      1.81      1.21      0.59
     31.60      1.11      0.26      0.69      0.22      1.71      1.15      0.57
     39.74      5.77      0.30      0.87      0.11      1.18      1.09      0.56
     36.95      3.55      0.25      0.85      0.06      1.42      1.25      0.58
     37.10      1.04      0.33      0.95      0.16      1.96      1.30      0.56
     37.92      8.70      0.20      1.04      0.20      1.10      1.21      0.55
     35.57      1.43      0.29      0.87      0.24      1.28      1.24      0.56
     33.93      8.15      0.24      0.85      0.05      1.61      1.08      0.60
     35.73      1.91      0.27      1.05      0.22      1.17      1.12      0.54
     34.75      7.40      0.30      0.82      0.24      1.56      1.27      0.55
     26.39      4.30      0.34      1.01      0.25      1.26      1.22      0.54
     35.61      5.43      0.30      0.80      0.27      1.02      1.30      0.55
     28.63      3.41      0.22      1.00      0.08      1.51      1.29      0.56
     32.53      2.18      0.32      0.83      0.14      1.66      1.12      0.60
     36.89      2.85      0.28      0.90      0.08      1.62      1.07      0.58
     33.30      1.94      0.33      0.93      0.18      1.21      1.09      0.55
     32.77      5.37      0.38      0.70      0.16      1.93      1.05      0.58
     29.70      1.64      0.35      0.65      0.23      1.39      1.17      0.59
     37.78      6.42      0.28      1.07      0.06      1.63      1.08      0.54
     32.91      3.79      0.40      0.97      0.07      1.88      1.10      0.55
     32.79      4.49      0.36      0.75      0.25      1.42      1.06      0.53
     32.15      7.29      0.20      0.98      0.11      1.61      1.29      0.53
     36.32      8.10      0.26      1.02      0.07      1.56      1.24      0.54
     28.13      7.20      0.25      0.73      0.15      1.34      1.06      0.55
     31.35      5.65      0.24      1.07      0.10      1.38      1.11      0.53
     27.31      4.16      0.21      1.08      0.19      1.11      1.24      0.55
     37.44      5.08      0.38      1.01      0.29      1.75      1.09      0.53
     38.05      5.21      0.34      0.77      0.06      1.15      1.06      0.57
     34.41      8.87      0.28      1.02      0.16      1.52      1.17      0.57
     39.22      8.56      0.35      0.92      0.20      1.96      1.28      0.57
     34.86      6.56      0.22      0.88      0.12      1.85      1.06      0.60
     36.51      4.02      0.23      1.01      0.16      1.09      1.26      0.55
     26.51      5.45      0.24      1.07      0.15      1.53      1.20      0.55
     27.61      2.87      0.22      0.83      0.24      1.84      1.29      0.55
     37.54      7.40      0.24      0.71      0.06      1.33      1.18      0.54
     33.88      8.74      0.28      1.01      0.18      1.61      1.26      0.57
     39.06      5.77      0.25      1.07      0.29      1.59      1.21      0.57
     26.29      3.71      0.38      0.72      0.09      1.57      1.18      0.56
     30.82      7.97      0.39      0.68      0.18      1.42      1.16      0.55
     28.48      2.50      0.31      0.91      0.07      1.43      1.11      0.59
     32.01      1.27      0.38      0.70      0.26      1.20      1.13      0.53
     35.43      5.03      0.27      0.83      0.21      1.10      1.17      0.55
     34.05      2.98      0.25      1.09      0.21      1.74      1.20      0.55
     39.50      7.51      0.39      0.61      0.25      1.40      1.29      0.54
     29.04      6.25      0.34      1.00      0.23      1.12      1.28      0.60
     39.45      4.19      0.22      0.91      0.13      1.33      1.27      0.58
     33.85      7.56      0.38      1.02      0.22      1.84      1.19      0.54
     39.84      5.03      0.29      0.93      0.18      1.77      1.26      0.54
     38.09      3.54      0.40      0.68      0.26      1.39      1.24      0.59
     34.08      3.73      0.22      0.93      0.08      1.58      1.27      0.58
     37.58      6.96      0.26      0.82      0.29      1.76      1.07      0.55
     30.27      5.94      0.29      0.97      0.13      1.52      1.24      0.55
     28.72      3.58      0.27      0.99      0.25      1.75      1.20      0.57
     26.60      3.96      0.37      0.70      0.22      1.81      1.13      0.57
     31.61      4.67      0.31      0.93      0.30      1.79      1.23      0.56
     28.60      8.21      0.25      0.81      0.05      1.53      1.27      0.59
     25.89      6.24      0.22      0.68      0.30      1.32      1.24      0.60
     25.35      4.65      0.33      0.77      0.06      1.24      1.07      0.55
     36.77      4.92      0.27      0.78      0.14      1.06      1.19      0.57
     28.56      5.31      0.35      0.73      0.18      1.46      1.29      0.58
     37.39      2.26      0.29      1.03      0.07      1.60      1.19      0.53
     38.29      1.84      0.26      0.89      0.10      1.43      1.27      0.56
     25.09      1.08      0.34      0.72      0.26      1.39      1.17      0.54
     38.28      1.30      0.27      0.81      0.17      1.96      1.15      0.56
     26.86      3.69      0.32      1.05      0.28      1.32      1.25      0.59
     28.40      7.58      0.25      0.92      0.12      1.98      1.29      0.56
     37.74      4.38      0.21      0.63      0.24      1.62      1.24      0.57
     28.25      4.10      0.35      0.80      0.13      1.47      1.19      0.55
     29.87      5.92      0.32      1.07      0.29      1.84      1.07      0.59
     34.66      3.94      0.24      0.68      0.16      1.75      1.06      0.59
     32.03      1.29      0.24      1.03      0.08      1.44      1.29      0.57
     31.41      8.64      0.37      0.68      0.13      1.94      1.12      0.56
     35.18      5.10      0.39      0.68      0.25      1.30      1.06      0.60
     31.32      8.34      0.24      0.72      0.09      1.50      1.16      0.60
     29.30      2.49      0.29      1.00      0.24      1.70      1.29      0.55
     35.80      8.56      0.22      0.66      0.10      1.71      1.25      0.54
     31.73      3.30      0.39      1.00      0.13      1.31      1.16      0.53
     30.77      6.30      0.39      0.90      0.17      1.05      1.06      0.54
     27.13      7.71      0.20      1.03      0.09      1.92      1.13      0.57
     30.99      4.78      0.22      0.90      0.07      1.16      1.11      0.55
     25.32      7.75      0.26      1.07      0.23      1.47      1.11      0.57
     38.28      3.22      0.31      0.61      0.10      1.38      1.08      0.58
     32.92      4.42      0.35      0.67      0.27      1.00      1.12      0.53
     28.10      4.88      0.26      0.91      0.27      1.99      1.21      0.54
     29.92      3.53      0.22      1.02      0.25      1.08      1.12      0.54
     28.97      8.21      0.30      0.81      0.20      1.70      1.16      0.55
     27.39      4.02      0.34      0.87      0.15      1.46      1.08      0.54
     28.85      1.24      0.32      1.01      0.08      1.65      1.05      0.57
     34.74      1.26      0.25      1.05      0.15      1.61      1.07      0.54
     35.28      8.49      0.23      0.88      0.17      1.59      1.28      0.56
     36.22      8.11      0.23      1.00      0.27      1.23      1.10      0.58
     37.89      2.82      0.21      1.02      0.13      1.57      1.22      0.56
     32.67      1.99      0.30      0.88      0.25      1.11      1.14      0.57
     31.06      4.81      0.31      0.82      0.16      1.79      1.13      0.55

 #-----------Update Pop P_com-----           1 /          20
     Omega        hs        n         ec0       alpha     beta      rat_ed    rat_ei
 -------------------------------------------------------
     38.81      2.24      0.32      0.99      0.11      1.12      1.24      0.56
     37.76      5.83      0.30      0.79      0.11      1.58      1.22      0.57
     27.86      8.62      0.25      0.90      0.20      1.35      1.16      0.56
     36.00      2.13      0.38      1.00      0.26      1.71      1.30      0.55
     39.64      1.75      0.34      0.71      0.18      1.57      1.19      0.54
     27.50      4.13      0.36      0.91      0.22      1.40      1.16      0.56
     33.94      6.16      0.37      0.78      0.24      1.71      1.18      0.58
     35.68      5.80      0.35      0.88      0.18      1.28      1.24      0.59
     34.27      5.63      0.38      0.63      0.27      1.54      1.21      0.58
     35.96      2.52      0.31      0.68      0.14      1.63      1.07      0.59
     32.34      2.30      0.24      0.87      0.12      1.41      1.23      0.57
     29.76      7.88      0.23      0.83      0.27      1.29      1.08      0.59

 #---------Update Pop P_eli-----           2 /          20
     Omega        hs        n         ec0       alpha     beta      rat_ei    rat_ed
 -----------------------------------------------------
     33.53      1.01      0.25      1.07      0.19      1.16      1.08      0.57
     34.74      1.26      0.25      1.05      0.15      1.61      1.07      0.54
     34.34      7.63      0.20      0.92      0.26      1.33      1.14      0.58
     33.57      1.76      0.26      0.99      0.22      1.39      1.17      0.54
     35.69      1.71      0.22      0.95      0.27      1.62      1.14      0.56


 #---------Update Pop P_mat-----           2 /          20
     Omega        hs        n         ec0       alpha     beta      rat_ei    rat_ed
 -----------------------------------------------------
     35.73      1.91      0.27      1.05      0.22      1.17      1.12      0.54
     34.68      5.32      0.31      1.01      0.09      1.16      1.20      0.58
     35.35      1.15      0.22      1.00      0.19      1.14      1.11      0.58
     31.25      5.53      0.28      0.92      0.16      1.34      1.14      0.57
     31.88      2.40      0.24      0.88      0.20      1.70      1.18      0.56
     37.94      4.00      0.22      1.01      0.11      1.10      1.15      0.57
     37.33      4.30      0.21      0.94      0.28      1.45      1.10      0.54
     35.64      2.87      0.30      0.91      0.17      1.77      1.17      0.57
     31.27      1.60      0.29      1.01      0.13      1.78      1.18      0.57
     32.04      3.87      0.25      0.99      0.15      1.69      1.18      0.57
     31.58      4.07      0.25      1.04      0.14      1.71      1.14      0.58
     33.43      2.47      0.31      0.93      0.19      1.78      1.18      0.57
     35.94      3.13      0.22      0.97      0.17      1.71      1.11      0.57
     36.17      1.45      0.34      0.83      0.25      1.37      1.16      0.59
     34.55      5.45      0.29      0.84      0.21      1.69      1.15      0.55
     32.93      2.43      0.26      0.95      0.19      1.48      1.27      0.56
     31.89      3.04      0.31      0.93      0.19      1.53      1.14      0.54
     34.99      6.05      0.24      0.95      0.11      1.53      1.11      0.57
     34.57      5.88      0.26      0.92      0.12      1.73      1.17      0.57
     31.67      4.69      0.27      0.85      0.24      1.69      1.19      0.57
     35.93      4.16      0.27      0.96      0.09      1.54      1.09      0.55
     30.85      1.56      0.29      1.00      0.19      1.57      1.09      0.57
     36.98      1.86      0.32      0.96      0.14      1.33      1.26      0.55
     36.25      1.92      0.21      0.96      0.27      1.74      1.13      0.56
     32.31      4.49      0.28      0.90      0.14      1.87      1.10      0.54
     36.23      4.26      0.23      1.01      0.15      1.36      1.24      0.56
     35.77      1.45      0.21      0.94      0.24      1.31      1.24      0.56
     34.11      4.10      0.22      0.94      0.17      1.13      1.16      0.55
     33.96      6.01      0.28      1.03      0.19      1.24      1.13      0.57
     31.40      4.03      0.24      0.92      0.25      1.49      1.09      0.57
     35.83      4.64      0.27      1.03      0.25      1.14      1.11      0.54
     33.78      3.37      0.35      0.97      0.13      1.32      1.13      0.56
     33.93      3.09      0.25      0.91      0.19      1.52      1.23      0.55
     35.21      4.26      0.28      0.89      0.24      1.52      1.10      0.54
     34.90      2.19      0.30      0.97      0.18      1.43      1.12      0.59
     35.41      4.92      0.29      0.89      0.21      1.33      1.17      0.56
     35.69      5.38      0.21      0.80      0.27      1.09      1.13      0.55
     33.21      2.77      0.23      0.91      0.21      1.50      1.15      0.57
     38.34      6.26      0.22      1.04      0.19      1.34      1.20      0.53
     37.86      3.03      0.33      0.97      0.11      1.40      1.13      0.55
     34.22      3.32      0.25      0.99      0.20      1.40      1.07      0.54
     38.69      3.83      0.31      1.00      0.11      1.08      1.23      0.56
     36.65      4.67      0.22      0.90      0.24      1.48      1.08      0.59
     34.17      2.62      0.26      0.98      0.17      1.78      1.11      0.57
     36.44      6.90      0.22      0.93      0.27      1.70      1.08      0.55
     35.95      3.98      0.27      0.97      0.26      1.72      1.19      0.59
     35.44      1.67      0.26      0.89      0.28      1.21      1.24      0.55
     35.47      8.13      0.25      0.96      0.10      1.57      1.27      0.56
     36.22      4.81      0.29      0.92      0.21      1.42      1.18      0.54
     31.12      2.60      0.23      0.98      0.20      1.73      1.18      0.55
     35.32      4.77      0.27      0.88      0.13      1.77      1.16      0.54
     30.80      1.99      0.29      0.89      0.22      1.16      1.11      0.56
     37.68      4.75      0.32      0.99      0.10      1.19      1.16      0.59
     35.43      4.33      0.22      0.92      0.22      1.05      1.13      0.56
     33.94      1.59      0.29      0.97      0.20      1.33      1.19      0.56
     37.19      2.34      0.25      1.00      0.18      1.54      1.23      0.56
     34.67      2.54      0.24      1.08      0.12      1.49      1.21      0.58
     35.60      4.19      0.22      0.94      0.25      1.24      1.25      0.56
     33.35      4.99      0.30      0.96      0.17      1.52      1.13      0.56
     31.69      2.51      0.23      0.87      0.27      1.53      1.16      0.57
     36.20      3.07      0.34      0.92      0.16      1.57      1.07      0.57
     36.05      3.27      0.28      0.92      0.19      1.27      1.19      0.57
     34.04      2.36      0.31      0.89      0.28      1.64      1.12      0.57
     35.05      6.36      0.23      0.95      0.24      1.49      1.14      0.57
     31.98      2.88      0.26      0.92      0.21      1.73      1.06      0.55
     31.85      5.29      0.26      0.91      0.19      1.81      1.10      0.56
     35.24      2.35      0.27      0.85      0.22      1.48      1.11      0.56
     30.94      5.26      0.25      1.03      0.21      1.32      1.10      0.58
     34.59      6.48      0.26      0.97      0.26      1.78      1.08      0.56
     36.27      4.14      0.23      0.94      0.17      1.32      1.07      0.58
     31.51      6.29      0.26      0.90      0.26      1.36      1.15      0.56
     33.56      2.01      0.31      0.97      0.21      1.27      1.13      0.56
     31.09      2.56      0.29      0.98      0.16      1.19      1.23      0.54
     33.08      4.25      0.33      0.90      0.24      1.39      1.18      0.56
     33.10      4.90      0.28      0.93      0.22      1.60      1.15      0.56
     32.40      3.06      0.28      0.82      0.20      1.65      1.17      0.56
     35.83      2.73      0.25      0.96      0.20      1.66      1.26      0.58
     36.55      6.28      0.20      0.97      0.28      1.63      1.16      0.54
     33.12      3.88      0.26      0.90      0.17      1.75      1.11      0.56
     33.39      1.30      0.25      1.07      0.15      1.70      1.14      0.56
     34.09      5.14      0.30      0.83      0.21      1.51      1.09      0.59
     32.27      2.51      0.25      1.00      0.14      1.38      1.12      0.54
     37.10      6.70      0.29      0.94      0.18      1.58      1.15      0.56
     31.40      1.21      0.29      0.99      0.21      1.73      1.08      0.57
     35.53      5.35      0.30      0.83      0.26      1.47      1.08      0.55
     34.08      5.57      0.28      0.91      0.18      1.30      1.13      0.55
     34.14      4.54      0.25      0.89      0.15      1.47      1.16      0.55
     34.33      2.21      0.30      0.96      0.17      1.43      1.09      0.58
     33.87      3.07      0.32      0.87      0.22      1.33      1.13      0.56
     31.72      3.98      0.28      0.92      0.18      1.19      1.19      0.56
     35.56      2.49      0.27      0.92      0.18      1.42      1.14      0.55
     34.96      1.33      0.25      0.97      0.12      1.53      1.24      0.56
     31.58      4.49      0.20      0.99      0.28      1.60      1.09      0.55
     37.79      4.81      0.22      1.06      0.10      1.18      1.11      0.58
     32.22      2.64      0.26      0.93      0.12      1.88      1.07      0.56
     36.19      4.38      0.26      0.94      0.23      1.25      1.24      0.54
     32.63      1.67      0.30      0.90      0.17      1.60      1.18      0.57
     35.48      3.14      0.30      0.99      0.21      1.52      1.10      0.58
     36.59      4.64      0.23      0.84      0.25      1.57      1.14      0.57
     32.95      3.63      0.26      1.06      0.12      1.25      1.25      0.56
     30.71      5.92      0.27      0.92      0.24      1.55      1.17      0.56
     32.84      1.93      0.27      0.99      0.10      1.85      1.17      0.57
     35.34      2.47      0.28      0.96      0.11      1.26      1.18      0.55
     34.72      7.06      0.24      0.94      0.15      1.74      1.11      0.57
     33.16      1.87      0.31      0.95      0.19      1.70      1.08      0.56
     36.99      4.23      0.30      1.08      0.16      1.20      1.14      0.55
     34.85      5.12      0.23      0.94      0.24      1.59      1.21      0.56
